driverId,constructorId,grid,year,points,winner
4,4,6,2005,0.0,0
11,16,10,2005,1.0,0
2,3,12,2005,3.0,0
8,1,4,2005,10.0,1
13,15,8,2005,0.0,0
2,3,6,2005,0.0,0
11,16,20,2005,0.0,0
14,9,12,2005,2.0,0
4,4,3,2005,8.0,0
8,1,1,2005,10.0,1
11,16,4,2005,0.0,0
14,9,10,2005,0.0,0
13,15,15,2005,0.0,0
8,1,11,2005,5.0,0
4,4,2,2005,8.0,0
11,16,10,2005,0.0,0
14,9,11,2005,0.0,0
13,15,7,2005,0.0,0
4,4,4,2005,8.0,0
8,1,2,2005,10.0,1
14,9,14,2005,0.0,0
13,15,8,2005,0.0,0
11,16,19,2005,0.0,0
4,4,1,2005,6.0,0
8,1,5,2005,8.0,0
11,16,5,2005,0.0,0
13,15,10,2005,0.0,0
14,9,6,2005,3.0,0
4,4,16,2005,6.0,0
8,1,17,2005,10.0,1
11,16,17,2005,0.0,0
14,9,7,2005,0.0,0
13,15,11,2005,3.0,0
8,1,3,2005,8.0,0
4,4,1,2005,10.0,1
8,1,10,2004,0.0,0
2,17,15,2004,0.0,0
13,15,11,2004,0.0,0
11,16,7,2004,0.0,0
14,1,12,2004,1.0,0
4,4,5,2004,6.0,0
2,17,15,2004,0.0,0
8,1,5,2004,0.0,0
11,16,20,2004,0.0,0
13,15,11,2004,1.0,0
4,4,19,2004,2.0,0
14,1,9,2004,3.0,0
8,1,19,2004,0.0,0
14,1,10,2004,0.0,0
2,17,18,2004,0.0,0
13,15,13,2004,0.0,0
4,4,16,2004,3.0,0
11,16,5,2004,4.0,0
2,17,16,2004,0.0,0
11,16,7,2004,0.0,0
14,1,11,2004,0.0,0
13,15,12,2004,0.0,0
8,1,20,2004,1.0,0
4,4,6,2004,5.0,0
2,17,15,2004,0.0,0
8,1,13,2004,0.0,0
14,1,10,2004,0.0,0
13,15,17,2004,0.0,0
11,16,3,2004,4.0,0
4,4,8,2004,5.0,0
14,1,8,2004,0.0,0
11,16,7,2004,0.0,0
8,1,5,2004,0.0,0
4,4,3,2004,0.0,0
2,17,17,2004,2.0,0
13,15,16,2004,4.0,0
8,1,4,2004,0.0,0
14,1,18,2004,0.0,0
11,16,2,2004,0.0,0
2,17,13,2004,0.0,0
13,15,16,2004,0.0,0
4,4,6,2004,4.0,0
4,4,5,2004,0.0,0
11,16,20,2004,0.0,0
13,15,17,2004,0.0,0
2,17,15,2004,1.0,0
10,17,16,2004,2.0,0
14,1,9,2004,3.0,0
8,1,8,2004,4.0,0
13,15,15,2004,0.0,0
4,4,9,2004,0.0,0
2,17,16,2004,0.0,0
14,1,12,2004,2.0,0
8,1,7,2004,3.0,0
11,16,3,2004,6.0,0
11,16,7,2004,0.0,0
2,17,17,2004,0.0,0
13,15,16,2004,0.0,0
8,1,9,2004,2.0,0
14,1,3,2004,3.0,0
4,4,1,2004,8.0,0
2,17,15,2004,0.0,0
11,16,8,2004,0.0,0
4,4,16,2004,0.0,0
13,15,10,2004,0.0,0
14,1,6,2004,2.0,0
8,1,1,2004,8.0,0
8,1,3,2004,0.0,0
2,17,18,2004,0.0,0
13,15,16,2004,0.0,0
11,16,8,2004,1.0,0
14,1,4,2004,5.0,0
4,4,5,2004,6.0,0
8,1,10,2004,0.0,0
13,15,20,2004,0.0,0
2,17,16,2004,0.0,0
14,1,12,2004,0.0,0
11,16,3,2004,3.0,0
4,4,5,2004,6.0,0
11,16,15,2004,0.0,0
4,4,3,2004,0.0,0
2,17,16,2004,0.0,0
14,1,4,2004,2.0,0
13,15,8,2004,5.0,0
8,1,10,2004,10.0,1
8,1,7,2004,0.0,0
4,4,4,2004,0.0,0
2,17,20,2004,0.0,0
13,15,16,2004,0.0,0
14,1,10,2004,3.0,0
